,ONSConstID,AgeCat,ONSed,SexCat,Observation,Lab,Con,LD,Oth
1092,E14001078,5,0,1,271,24.199336345518198,0.21353572243714783,2.318788243292179,24.572358593822763
1093,E14001078,5,0,2,357,35.730112675023996,0.3460868248777068,3.0543036620157267,36.47533724567106
1094,E14001078,5,1,1,872,112.10122920924027,1.3203565829178598,15.41593202823729,151.19569753476873
1095,E14001078,5,1,2,882,124.17152615296236,1.6106681509685368,15.269946604992041,168.19766813880338
1096,E14001078,5,2,1,835,191.5974261385575,1.5205297673335307,27.455545126455377,129.8803660558846
1097,E14001078,5,2,2,742,184.11897410985603,1.6027761042578452,23.658867141285775,125.70226441741947
1098,E14001078,6,0,1,484,88.6086107402159,13.70631648454617,8.458575870309964,44.34441543497492
1099,E14001078,6,0,2,613,122.44906416659322,20.955701417621533,10.385630796396907,61.73129962284488
1100,E14001078,6,1,1,1374,320.2203570506094,64.93374970559239,44.145592390429734,215.22733421163144
1101,E14001078,6,1,2,1455,360.7832914686844,80.77884328142093,44.37123619067525,243.93228365814429
1102,E14001078,6,2,1,2071,714.6971075432765,100.82460417117716,103.91743141081406,232.44861744693029
1103,E14001078,6,2,2,1752,637.5750128820372,99.49260948424202,82.80107792956986,209.02969797027117
1104,E14001078,7,0,1,672,110.22689038941094,14.230426892202066,8.314306265502676,61.41293075310562
1105,E14001078,7,0,2,810,145.66167308534807,20.746405335921924,9.726739096687723,81.70908972338931
1106,E14001078,7,1,1,1394,303.58888041374684,51.57577926778936,33.04670751471773,226.85784863042153
1107,E14001078,7,1,2,1516,352.7840866524732,66.03719527372617,34.139388357271585,265.12191908527535
1108,E14001078,7,2,1,2393,807.3800837824293,95.17410222626152,93.87971858939814,292.8647007913913
1109,E14001078,7,2,2,2000,713.5478575381231,92.72715270436001,73.93196748138834,260.7260741340091
1110,E14001078,8,0,1,623,125.93508527444067,32.491593331824596,13.177056752894844,55.86560566727984
1111,E14001078,8,0,2,769,167.59974016881773,47.84017171922062,15.59839206104265,74.91091214973747
1112,E14001078,8,1,1,1337,325.73817220650085,110.94280684923784,49.4885719272365,194.83775781680583
1113,E14001078,8,1,2,1366,350.03278581148123,131.60101796516938,47.466741845677355,210.5671347399183
1114,E14001078,8,2,1,2288,797.0692391637269,187.67578369870566,127.21196770713362,229.16392762783562
1115,E14001078,8,2,2,2055,747.9640427474915,194.51344361985613,106.70048203911271,216.70463727418135
1116,E14001078,9,0,1,585,116.39231171613612,63.24671506900013,8.698072195861018,70.40010605243518
1117,E14001078,9,0,2,727,152.0633314907647,91.00668697565952,9.9955738601633,92.44186042622667
1118,E14001078,9,1,1,1352,301.10479873358565,215.83518425359227,33.20884162008173,245.2673796255993
1119,E14001078,9,1,2,1277,291.37566993671464,229.80916701295973,28.507845881759614,238.41991533839823
1120,E14001078,9,2,1,1941,639.7860002427113,318.5183796458095,75.10286615448292,251.32679551852692
1121,E14001078,9,2,2,1898,637.6004648072706,349.39527274495646,66.42008036852683,251.75089055205115
1122,E14001078,10,0,1,761,157.14095333010533,117.99347822845527,15.573583330385247,60.23535632352508
1123,E14001078,10,0,2,851,183.20540347517291,151.43520932609601,16.076423751124747,70.55895749525435
1124,E14001078,10,1,1,1400,316.98123051871204,313.74417852401393,46.01592389338226,163.68714099885824
1125,E14001078,10,1,2,1319,303.6782334844592,330.6335983335267,39.26163954634001,157.3900565818228
1126,E14001078,10,2,1,1705,539.6587088571912,372.0916604579452,83.35812148727288,133.64138210184177
1127,E14001078,10,2,2,1760,565.1281979917087,428.7594458426185,77.77628218151135,140.43843029196543
1128,E14001078,11,0,1,1059,207.131241618172,136.65396785971558,31.07644498536235,94.84198952472411
1129,E14001078,11,0,2,1046,215.50075161475908,156.49230646260142,28.658614024930266,99.1770959895545
1130,E14001078,11,1,1,1506,317.24749058226996,276.79835015503676,69.84258124038612,196.81189099636367
1131,E14001078,11,1,2,1315,285.20822193049224,273.6460384691044,55.86400778838642,177.59513623616346
1132,E14001078,11,2,1,1322,385.43360510235664,233.5527453138643,89.27912197680975,114.6313509794996
1133,E14001078,11,2,2,1693,507.56706983314615,338.2678054283857,104.75656720081133,151.61002402457459
1134,E14001078,12,0,1,1149,223.34514513197868,183.47441438183148,28.653265626522543,166.39602138078408
1135,E14001078,12,0,2,1036,208.1117925215481,188.4494399793625,23.56282609636573,155.872374698986
1136,E14001078,12,1,1,1340,261.0368485414095,283.20834913861165,49.07358612599068,262.93940543947417
1137,E14001078,12,1,2,1071,211.09204707517267,252.3129554972642,35.23422906168708,213.6833573933526
1138,E14001078,12,2,1,1129,315.08937397261957,237.8391595052007,62.73855718072285,152.61299833419125
1139,E14001078,12,2,2,1566,442.18213408385407,367.5901086380502,78.30034777250938,215.20212452489062
1140,E14001078,13,0,1,1068,202.3455045001823,155.36967359473581,31.04378350529055,144.27064289335505
1141,E14001078,13,0,2,789,155.61034206354475,131.6045880730165,21.189510755892286,111.4883313467275
1142,E14001078,13,1,1,917,175.69153943373195,178.61219359248204,39.753268939698565,169.86306792952516
1143,E14001078,13,1,2,768,149.94609545679845,167.76365450986287,30.25548402572627,145.57522445168382
1144,E14001078,13,2,1,855,233.1824018259442,164.67329053807055,54.89483583147107,107.99564526196268
1145,E14001078,13,2,2,1213,336.96131355899274,261.9752318221604,70.80480779448033,156.77823505085678
1146,E14001078,14,0,1,5407,894.4637105226653,1554.1805218644604,143.8779614458408,483.356063633663
1147,E14001078,14,0,2,3059,511.22927366866884,976.7267250098781,72.61115169965846,277.16483373070827
1148,E14001078,14,1,1,1580,249.03533935877562,574.2496832690384,59.48276118060681,182.92379204953156
1149,E14001078,14,1,2,1297,202.466979694638,513.3013277127525,43.00238525371779,149.1040796899249
1150,E14001078,14,2,1,2312,508.6250373442166,813.4726341870072,128.25996311492514,177.97011982859382
1151,E14001078,14,2,2,3500,764.4997092763782,1344.283302858795,171.56951413178598,267.9949018031231
1152,E14001079,3,0,1,172,23.645433917111326,11.40092543342817,3.607793184318814,12.166715819833813
1153,E14001079,3,0,2,261,38.74657473633213,20.63852065344052,5.226108916458796,20.095431022810658
1154,E14001079,3,1,1,603,107.03325125827101,66.48173157453816,24.320930876232246,73.44550271623248
1155,E14001079,3,1,2,518,96.63369232768758,66.33080370666171,19.534599376947078,66.77150148368472
